Name,Address,type,Phone,Website,Parents.time.out,Drop.in.care,latitude,longitude
Airbound Trampoline Park,"4215 W Gate City Blvd, Greensboro, NC 27407",Trampoline Park, (336) 355-1585,https://airboundpark.com/greensboro/,,1,36.03694637,-79.86159566
BounceU Charlotte - Matthews,"9129 Monroe Rd #145, Charlotte, NC 28270",Gym,(980) 321-7881,https://www.bounceu.com/matthews-nc/,1,,35.14655976,-80.74407806
Bumble Brews,"1028 Oberlin Rd Ste 242, Raleigh, NC 27605",Cafe_restaurant,919-424-7142,https://www.bumblebrews.fun/menus/,,1,35.79723728,-78.66016841
Fun City Indoor Playground,"3551 Lackey St, Lumberton, NC 28360",Indoor playground,(910) 370-0720,https://www.facebook.com/people/Fun-City-Lumberton/100084554619842/,1,,34.64573483,-79.01477666
Funtown Play Cafe,"4555 Charlotte Hwy Ste 19, Clover, SC 29710",Indoor playground,(803) 810-6500,https://www.funtown-playcafe.com,1,,35.1155558,-81.05712336
God's Blessings Before & Afterschool Care & Childcare,"6621Beatties, Ford Rd, Charlotte, NC 28216",Childcare, (704) 275-1941,https://gbschildcare.com,1,,35.32371984,-80.8663399
Kaleideum,400 W Hanes Mill Rd Winston Salem NC 27105,Museum,(336) 723-9111,https://www.kaleideum.org,1,1,36.18463641,-80.28206748
Kiddie Cove,"3515 W HWY 74 Suite F Monroe, NC 28110",Childcare,(704)635-7041,https://kiddiecovenc.com/programs,1,,35.03006731,-80.59136667
Lemon Rose Play Cafe,"6886 Beach Dr. SW Ocean Isle Beach, NC 28469",Indoor playground,(910) 616-8709,https://www.facebook.com/lemonroseplaycafe/,1,,33.8994976,-78.46624609
Moments of Fun Drop-In Childcare,"11025 Monroe Rd Unit H Matthews, NC 28105",Childcare,704-246-6117,https://www.momentsoffuncare.com,1,,35.124361,-80.728601
PlayFunParty Fayetteville,"4902 Yadkin Rd Suite 200, Fayetteville, NC 28303",Indoor playground,(910) 339-6451,http://www.playfunparty.com,1,,35.08213006,-78.96483134
